,0,1,2,3
617,2011-09-10,0.0,56,76
618,2011-09-11,0.0,55,81
619,2011-09-12,0.0,60,79
620,2011-09-13,0.0,44,63
621,2011-09-14,T,44,55
622,2011-09-15,0.0,42,54
623,2011-09-16,0.0,40,59
624,2011-09-17,0.0,40,63
625,2011-09-18,0.0,45,65
626,2011-09-19,0.0,52,60
627,2011-09-20,0.0,43,70
628,2011-09-21,0.0,54,67
629,2011-09-22,0.0,50,61
630,2011-09-23,0.0,48,62
631,2011-09-24,0.0,53,65
632,2011-09-25,0.0,53,70
633,2011-09-26,0.0,56,72
634,2011-09-27,0.0,55,64
635,2011-09-28,0.0,51,70
636,2011-09-29,0.0,48,65
637,2011-09-30,0.0,38,50
638,2011-10-01,0.0,34,53
639,2011-10-02,0.0,33,62
640,2011-10-03,0.0,44,69
641,2011-10-04,0.0,42,72
642,2011-10-05,0.0,44,64
643,2011-10-06,0.0,47,70
644,2011-10-07,0.0,49,75
645,2011-10-08,0.0,56,78
646,2011-10-09,0.0,52,80
647,2011-10-10,0.0,48,73
648,2011-10-11,0.0,55,73
649,2011-10-12,0.0,53,69
650,2011-10-13,0.0,54,61
651,2011-10-14,0.0,46,57
652,2011-10-15,0.0,44,48
653,2011-10-16,0.0,42,56
654,2011-10-17,0.0,40,46
655,2011-10-18,0.0,39,50
656,2011-10-19,0.0,38,51
657,2011-10-20,0.0,41,45
658,2011-10-21,0.0,34,48
659,2011-10-22,0.0,30,56
660,2011-10-23,0.0,38,54
661,2011-10-24,0.0,43,47
662,2011-10-25,0.0,38,48
663,2011-10-26,0.0,31,48
664,2011-10-27,T,33,44
665,2011-10-28,0.0,31,44
666,2011-10-29,T,33,48
667,2011-10-30,0.0,29,48
668,2011-10-31,0.0,41,52
669,2011-11-01,0.0,44,51
670,2011-11-02,0.0,42,48
671,2011-11-03,0.0,34,47
672,2011-11-04,0.0,27,47
673,2011-11-05,0.0,33,50
674,2011-11-06,0.0,38,57
675,2011-11-07,0.0,40,56
676,2011-11-08,0.0,34,43
677,2011-11-09,0.0,38,47
678,2011-11-10,1.2,33,39
679,2011-11-11,0.5,29,36
680,2011-11-12,0.0,34,50
681,2011-11-13,0.0,42,55
682,2011-11-14,0.0,43,49
683,2011-11-15,0.0,33,47
684,2011-11-16,1.6,30,39
685,2011-11-17,3.4,24,35
686,2011-11-18,T,21,41
687,2011-11-19,0.0,36,46
688,2011-11-20,T,23,37
689,2011-11-21,T,23,33
690,2011-11-22,0.0,30,39
691,2011-11-23,0.0,24,40
692,2011-11-24,0.0,35,47
693,2011-11-25,0.0,46,51
694,2011-11-26,0.0,43,49
695,2011-11-27,0.2,31,49
696,2011-11-28,T,28,34
697,2011-11-29,0.0,26,36
698,2011-11-30,T,25,41
699,2011-12-01,0.6,28,37
700,2011-12-02,T,19,31
701,2011-12-03,1.7,26,39
702,2011-12-04,0.0,30,41
703,2011-12-05,T,21,30
704,2011-12-06,0.0,12,24
705,2011-12-07,0.8,18,31
706,2011-12-08,0.3,18,28
707,2011-12-09,0.0,12,24
708,2011-12-10,T,11,26
709,2011-12-11,0.0,26,43
710,2011-12-12,0.0,34,40
711,2011-12-13,0.0,33,37
712,2011-12-14,0.0,35,38
713,2011-12-15,1.3,31,39
714,2011-12-16,0.1,13,35
715,2011-12-17,0.3,8,25
716,2011-12-18,T,23,36
717,2011-12-19,T,22,39
718,2011-12-20,0.0,20,30
719,2011-12-21,0.0,25,39
720,2011-12-22,T,14,36
721,2011-12-23,1.3,9,18
722,2011-12-24,0.6,17,32
723,2011-12-25,0.6,21,35
724,2011-12-26,0.0,30,40
725,2011-12-27,0.6,6,40
726,2011-12-28,0.0,-3,13
727,2011-12-29,1.8,9,22
728,2011-12-30,0.1,21,27
729,2011-12-31,0.0,16,34
730,2012-01-01,5.1,29,35
731,2012-01-02,2.7,3,29
732,2012-01-03,0.2,-8,20
733,2012-01-04,T,19,30
734,2012-01-05,T,23,31
735,2012-01-06,0.0,21,42
736,2012-01-07,0.6,13,36
737,2012-01-08,1.7,11,29
738,2012-01-09,0.5,19,36
739,2012-01-10,T,30,35
740,2012-01-11,0.0,33,39
741,2012-01-12,2.1,16,37
742,2012-01-13,5.5,1,16
743,2012-01-14,0.0,-9,9
744,2012-01-15,T,2,25
745,2012-01-16,0.0,22,28
746,2012-01-17,0.7,5,28
747,2012-01-18,T,2,21
748,2012-01-19,7.2,2,21
749,2012-01-20,0.4,-3,14
750,2012-01-21,0.4,-5,18
751,2012-01-22,0.0,10,33
752,2012-01-23,T,31,39
753,2012-01-24,2.2,17,31
754,2012-01-25,T,14,31
755,2012-01-26,0.0,26,32
756,2012-01-27,0.5,25,35
757,2012-01-28,3.2,22,33
758,2012-01-29,3.2,18,23
759,2012-01-30,1.1,7,25
760,2012-01-31,0.0,25,36
761,2012-02-01,0.0,25,36
762,2012-02-02,T,25,30
763,2012-02-03,0.3,30,38
764,2012-02-04,T,30,36
765,2012-02-05,0.0,29,37
766,2012-02-06,T,28,35
767,2012-02-07,T,10,28
768,2012-02-08,0.0,11,34
769,2012-02-09,0.0,16,37
770,2012-02-10,T,1,30
771,2012-02-11,4.0,-3,24
772,2012-02-12,T,16,30
773,2012-02-13,0.0,22,35
774,2012-02-14,2.1,28,33
775,2012-02-15,0.1,25,34
776,2012-02-16,2.3,31,34
777,2012-02-17,0.2,27,32
778,2012-02-18,1.4,20,27
779,2012-02-19,T,18,31
780,2012-02-20,0.0,10,38
781,2012-02-21,1.1,25,36
782,2012-02-22,1.3,30,35
783,2012-02-23,T,21,35
784,2012-02-24,0.7,20,32
785,2012-02-25,T,13,24
786,2012-02-26,0.6,15,26
787,2012-02-27,0.5,16,32
788,2012-02-28,0.1,10,29
789,2012-02-29,1.6,25,30
790,2012-03-01,T,27,33
791,2012-03-02,2.4,29,36
792,2012-03-03,5.5,6,32
793,2012-03-04,T,1,19
794,2012-03-05,0.0,-9,23
795,2012-03-06,0.4,19,36
796,2012-03-07,0.0,31,52
797,2012-03-08,0.3,20,38
798,2012-03-09,0.8,8,27
799,2012-03-10,0.1,8,34
800,2012-03-11,0.0,24,52
801,2012-03-12,0.0,33,45
802,2012-03-13,0.0,34,43
803,2012-03-14,0.0,27,51
804,2012-03-15,0.0,35,58
805,2012-03-16,0.0,30,60
806,2012-03-17,0.0,43,65
807,2012-03-18,0.0,44,72
808,2012-03-19,0.0,45,68
809,2012-03-20,0.0,50,69
810,2012-03-21,0.0,50,83
811,2012-03-22,0.0,50,56
812,2012-03-23,0.0,47,55
813,2012-03-24,0.0,43,52
814,2012-03-25,T,26,46
815,2012-03-26,0.0,20,39
816,2012-03-27,0.0,25,40
817,2012-03-28,0.0,33,45
818,2012-03-29,0.0,29,41
819,2012-03-30,0.2,28,32
820,2012-03-31,T,27,42
821,2012-04-01,0.0,33,45
822,2012-04-02,0.0,28,54
823,2012-04-03,0.0,36,48
824,2012-04-04,0.0,33,47
825,2012-04-05,0.0,28,43
826,2012-04-06,0.0,27,49
827,2012-04-07,0.0,25,60
